"Period";"DAX"
"1987Q4";1000
"1988Q1";1026,09666666667
"1988Q2";1092,77
"1988Q3";1199,92333333333
"1988Q4";1301,55
"1989Q1";1308,01666666667
"1989Q2";1417,30333333333
"1989Q3";1575,46
"1989Q4";1613,52
"1990Q1";1867,08333333333
"1990Q2";1845,98666666667
"1990Q3";1627,84
"1990Q4";1424,42666666667
"1991Q1";1494,99
"1991Q2";1644,02666666667
"1991Q3";1626,61333333333
"1991Q4";1575,53666666667
"1992Q1";1716,82666666667
"1992Q2";1763,29333333333
"1992Q3";1541,01
"1992Q4";1527,23666666667
"1993Q1";1646,80333333333
"1993Q2";1652,22333333333
"1993Q3";1887,94333333333
"1993Q4";2131,15
"1994Q1";2134,04333333333
"1994Q2";2133,00666666667
"1994Q3";2123,74666666667
"1994Q4";2075,49
"1995Q1";2015,34666666667
"1995Q2";2064,01333333333
"1995Q3";2214,69666666667
"1995Q4";2221,54
"1996Q1";2476,52
"1996Q2";2536,48
"1996Q3";2556,34333333333
"1996Q4";2797,82
"1997Q1";3241,28
"1997Q2";3590,56
"1997Q3";4170,93666666667
"1997Q4";3975,17333333333
"1998Q1";4750,85333333333
"1998Q2";5524,65333333333
"1998Q3";5060,77333333333
"1998Q4";4898,73666666667
"1999Q1";4985,32333333333
"1999Q2";5280,48666666667
"1999Q3";5174,15666666667
"1999Q4";6126,52666666667
"2000Q1";7359,84666666667
"2000Q2";7140,85333333333
"2000Q3";7068,31333333333
"2000Q4";6627,79333333333
"2001Q1";6277,77666666667
"2001Q2";6148,71666666667
"2001Q3";5119,17
"2001Q4";4903,04666666667
"2002Q1";5181,32666666667
"2002Q2";4747,35333333333
"2002Q3";3394,03666666667
"2002Q4";3121,93333333333
"2003Q1";2572,91666666667
"2003Q2";3048,43333333333
"2003Q3";3409,74
"2003Q4";3789,03333333333
"2004Q1";3977,82
"2004Q2";3986,45
"2004Q3";3857,90666666667
"2004Q4";4114,11
"2005Q1";4318,03666666667
"2005Q2";4410,58333333333
"2005Q3";4920,10333333333
"2005Q4";5176,91
"2006Q1";5813,42333333333
"2006Q2";5795,35333333333
"2006Q3";5848,62333333333
"2006Q4";6391,67666666667
"2007Q1";6807,19333333333
"2007Q2";7766,41
"2007Q3";7694,60666666667
"2007Q4";7985,68666666667
"2008Q1";6711,61666666667
"2008Q2";6821,31
"2008Q3";6244,29333333333
"2008Q4";4822,53666666667
"2009Q1";4088,95
"2009Q2";4839,63666666667
"2009Q3";5490,63666666667
"2009Q4";5666,11333333333
"2010Q1";5786,93333333333
"2010Q2";6021,85
"2010Q3";6100,73666666667
"2010Q4";6734,68333333333
"2011Q1";7130,37
"2011Q2";7394,79666666667
"2011Q3";6148,54666666667
"2011Q4";6042,84333333333
"2012Q1";6753,94
"2012Q2";6480,61666666667
"2012Q3";6986,4
"2012Q4";7426,17333333333
"2013Q1";7771,02
"2013Q2";8073,92333333333
"2013Q3";8324,50666666667
"2013Q4";9330,46
"2014Q1";9518,15666666667
"2014Q2";9793,19
"2014Q3";9450,65
"2014Q4";9704,42333333333
"2015Q1";11354,05
"2015Q2";11271,0566666667
"2015Q3";10409,63
"2015Q4";10991,7933333333
"2016Q1";9753,00666666667
"2016Q2";9993,93333333333
"2016Q3";10480,4033333333
"2016Q4";10928,79
"2017Q1";11894,1966666667
"2017Q2";12459,3966666667
"2017Q3";12334,3166666667
"2017Q4";13057,0633333333
"2018Q1";12574,02
"2018Q2";12507,6666666667
"2018Q3";12472,0966666667
"2018Q4";11087,9033333333
"2019Q1";11344,37
