"Period";"FX_USD_EUR"
"1999Q1";1,12161428571429
"1999Q2";1,05691230769231
"1999Q3";1,04856666666667
"1999Q4";1,03799538461538
"2000Q1";0,986452307692308
"2000Q2";0,933198387096774
"2000Q3";0,905238461538462
"2000Q4";0,868301587301587
"2001Q1";0,923215625
"2001Q2";0,872517741935484
"2001Q3";0,890270769230769
"2001Q4";0,895879365079365
"2002Q1";0,876596774193548
"2002Q2";0,91881746031746
"2002Q3";0,983751515151515
"2002Q4";0,9993625
"2003Q1";1,0731380952381
"2003Q2";1,13724032258065
"2003Q3";1,12476060606061
"2003Q4";1,1889859375
"2004Q1";1,249725
"2004Q2";1,20460793650794
"2004Q3";1,22198787878788
"2004Q4";1,29767878787879
"2005Q1";1,31129677419355
"2005Q2";1,25937076923077
"2005Q3";1,21992121212121
"2005Q4";1,1883890625
"2006Q1";1,20230153846154
"2006Q2";1,2582435483871
"2006Q3";1,27429692307692
"2006Q4";1,28869365079365
"2007Q1";1,3105859375
"2007Q2";1,34813870967742
"2007Q3";1,37382923076923
"2007Q4";1,4486078125
"2008Q1";1,49760322580645
"2008Q2";1,5622125
"2008Q3";1,50502272727273
"2008Q4";1,3179515625
"2009Q1";1,30286031746032
"2009Q2";1,36318870967742
"2009Q3";1,43030454545455
"2009Q4";1,47794307692308
"2010Q1";1,38290793650794
"2010Q2";1,27075079365079
"2010Q3";1,29103939393939
"2010Q4";1,3582696969697
"2011Q1";1,3679890625
"2011Q2";1,4390619047619
"2011Q3";1,41270303030303
"2011Q4";1,3481546875
"2012Q1";1,31082307692308
"2012Q2";1,28142096774194
"2012Q3";1,25024461538462
"2012Q4";1,29669375
"2013Q1";1,32062903225806
"2013Q2";1,30623174603175
"2013Q3";1,32417878787879
"2013Q4";1,3609796875
"2014Q1";1,36963174603175
"2014Q2";1,37107258064516
"2014Q3";1,32555909090909
"2014Q4";1,2498046875
"2015Q1";1,12614285714286
"2015Q2";1,10527096774194
"2015Q3";1,11165
"2015Q4";1,09527076923077
"2016Q1";1,10199677419355
"2016Q2";1,12923538461538
"2016Q3";1,11662878787879
"2016Q4";1,0789453125
"2017Q1";1,06479692307692
"2017Q2";1,10213064516129
"2017Q3";1,17460769230769
"2017Q4";1,17738571428571
"2018Q1";1,22921428571429
"2018Q2";1,19149047619048
"2018Q3";1,16290153846154
"2018Q4";1,1414125
"2019Q1";1,13841818181818
